generation,version_id,parent_id,conversation_id,persona_type,weighted_total,resolution_rate,agent1_goal_pass_rate,agent1_quality_pass_rate,agent1_compliance,agent2_goal_pass_rate,agent2_quality_pass_rate,agent2_compliance,agent3_goal_pass_rate,agent3_quality_pass_rate,agent3_compliance,handoff_1_pass_rate,handoff_2_pass_rate,system_pass_rate,promoted
0,v0,,conv-9b3d6f7b,cooperative,7.92,1.0,1.00,0.71,True,0.89,0.71,True,0.75,0.43,True,6.62,7.75,3.57,False
0,v0,,conv-77498749,combative,4.09,0.0,0.50,0.43,False,0.44,0.43,True,0.88,0.29,True,3.25,5.50,3.57,False
0,v0,,conv-4bda5b6f,evasive,7.22,1.0,0.62,0.43,True,0.89,0.71,True,0.62,0.43,True,5.50,7.75,3.57,False
0,v0,,conv-0617555b,confused,6.99,1.0,0.50,0.43,True,0.67,0.71,True,0.62,0.57,True,5.50,7.75,3.57,False
0,v0,,conv-f379e201,distressed,7.69,1.0,0.88,0.43,True,0.44,0.71,True,0.88,0.86,True,7.75,7.75,3.57,False
0,v0_0_cb8e,v0,conv-c1f784ae,cooperative,5.88,1.0,0.62,0.29,True,0.78,0.71,True,0.00,0.00,True,7.75,1.00,3.57,False
0,v0_0_cb8e,v0,conv-235322db,combative,6.22,0.0,0.50,0.14,True,0.67,0.57,True,0.62,0.14,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-aa039c62,cooperative,4.41,0.0,0.62,0.43,True,0.56,0.71,False,0.62,0.29,True,4.38,6.62,3.57,False
0,v0_0_cb8e,v0,conv-6dcd55b5,combative,6.74,0.0,0.50,0.43,True,0.67,0.71,True,0.62,0.57,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-19e8f405,evasive,7.25,0.0,0.50,0.43,True,0.89,0.71,True,0.88,0.43,True,5.50,6.62,3.57,False
0,v0_0_cb8e,v0,conv-ff8e9149,confused,6.7,1.0,0.62,0.43,True,0.56,0.71,True,0.38,0.71,True,4.38,6.62,3.57,False
0,v0_0_cb8e,v0,conv-323494d1,distressed,8.19,1.0,0.75,0.57,True,0.78,0.86,True,0.75,0.86,True,8.88,10.00,3.57,False
0,v0_0_cb8e,v0,conv-40c5d54a,cooperative,6.51,1.0,1.00,0.86,True,0.78,0.57,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_0_cb8e,v0,conv-fafad538,combative,6.42,0.0,0.50,0.14,True,0.67,0.71,True,0.75,0.29,True,3.25,5.50,3.57,False
0,v0_0_cb8e,v0,conv-88dd632a,evasive,7.07,1.0,0.62,0.43,True,0.78,0.71,True,0.75,0.71,True,3.25,5.50,3.57,False
0,v0_0_cb8e,v0,conv-4ba21bb5,cooperative,6.37,1.0,1.00,0.14,True,1.00,0.71,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_0_cb8e,v0,conv-67903963,combative,6.32,0.0,0.50,0.29,True,0.56,0.43,True,0.75,0.43,True,3.25,5.50,3.57,False
0,v0_0_cb8e,v0,conv-e64ca76b,evasive,7.09,0.0,0.62,0.43,True,0.78,0.57,True,0.88,0.57,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-31aeca9a,confused,6.54,0.0,0.62,0.43,True,0.56,0.71,True,0.62,0.29,True,4.38,6.62,2.29,False
0,v0_0_cb8e,v0,conv-576a74fd,distressed,7.37,1.0,0.75,0.14,True,0.78,0.71,True,0.88,0.57,True,7.75,5.50,3.57,False
0,v0_0_cb8e,v0,conv-31cb7094,cooperative,6.93,1.0,1.00,0.71,True,1.00,0.86,True,0.00,0.00,True,6.62,1.00,6.14,False
0,v0_0_cb8e,v0,conv-d96a2980,combative,6.24,0.0,0.50,0.14,True,0.56,0.71,True,0.75,0.29,True,2.12,5.50,3.57,False
0,v0_0_cb8e,v0,conv-64df96ae,evasive,6.96,0.0,0.50,0.43,True,0.67,0.71,True,0.88,0.57,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-dc91120e,confused,6.96,0.0,0.50,0.14,True,0.67,0.71,True,0.88,0.57,True,4.38,7.75,3.57,False
0,v0_0_cb8e,v0,conv-7d06de41,distressed,8.12,1.0,0.88,0.71,True,0.67,0.71,True,0.75,0.71,True,8.88,10.00,3.57,False
0,v0_0_cb8e,v0,conv-32ca5604,cooperative,5.93,1.0,1.00,0.71,True,0.67,0.71,False,0.88,0.71,True,7.75,8.88,3.57,False
0,v0_0_cb8e,v0,conv-ba569888,combative,6.34,0.0,0.62,0.43,True,0.44,0.14,True,0.75,0.43,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-ea2d3f6c,evasive,7.62,0.0,0.50,0.57,True,0.89,0.71,True,1.00,0.71,True,6.62,5.50,3.57,False
0,v0_0_cb8e,v0,conv-afa2a35e,confused,6.59,1.0,0.50,0.43,True,0.33,0.71,True,0.75,0.57,True,6.62,5.50,2.29,False
0,v0_0_cb8e,v0,conv-38737a12,distressed,8.08,1.0,0.88,0.71,True,0.78,0.86,True,0.88,0.57,True,6.62,8.88,3.57,False
0,v0_3_87bb,v0,conv-54aed325,cooperative,6.93,1.0,0.62,0.43,True,0.78,0.57,True,0.75,0.57,True,4.38,6.62,2.29,False
0,v0_3_87bb,v0,conv-20840a32,combative,4.86,0.0,0.50,0.14,True,0.67,0.43,True,0.00,0.00,True,2.12,1.00,2.29,False
0,v0_3_87bb,v0,conv-0d571292,cooperative,6.87,1.0,1.00,1.00,True,0.89,0.86,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_3_87bb,v0,conv-584a55aa,combative,6.68,0.0,0.50,0.29,True,0.67,0.57,True,0.75,0.29,True,5.50,6.62,3.57,False
0,v0_3_87bb,v0,conv-dae5dff9,evasive,7.43,1.0,0.62,0.43,True,0.78,0.71,True,0.88,0.57,True,5.50,7.75,3.57,False
0,v0_3_87bb,v0,conv-74f2414d,confused,7.06,0.0,0.62,0.43,True,0.67,0.71,True,0.62,0.71,True,4.38,8.88,2.29,False
0,v0_3_87bb,v0,conv-018f9663,distressed,7.87,1.0,0.88,0.71,True,0.44,0.86,True,0.88,0.86,True,7.75,6.62,3.57,False
0,v0_3_87bb,v0,conv-d5e04398,cooperative,5.49,1.0,0.75,0.43,True,0.56,0.14,True,0.00,0.00,True,5.50,1.00,4.86,False
0,v0_3_87bb,v0,conv-dfff5a14,combative,6.63,0.0,0.62,0.14,True,0.56,0.71,True,0.88,0.29,True,3.25,6.62,3.57,False
0,v0_3_87bb,v0,conv-e7f8c671,evasive,7.34,0.0,0.62,0.43,True,0.78,0.57,True,0.88,0.57,True,6.62,6.62,3.57,False
0,v0_3_87bb,v0,conv-20eeef59,cooperative,8.22,1.0,1.00,0.57,True,1.00,0.86,True,0.88,0.71,True,5.50,7.75,3.57,False
0,v0_3_87bb,v0,conv-e3a949ae,combative,5.25,1.0,0.62,0.14,True,0.56,0.57,True,0.00,0.00,True,4.38,1.00,3.57,False
0,v0_3_87bb,v0,conv-bfaeb4f1,evasive,7.19,0.0,0.62,0.43,True,0.89,0.71,True,0.88,0.57,True,4.38,4.38,3.57,False
0,v0_3_87bb,v0,conv-161115cd,confused,6.92,1.0,0.50,0.14,True,0.56,0.57,True,0.75,0.57,True,7.75,7.75,3.57,False
0,v0_3_87bb,v0,conv-d61720cd,distressed,8.09,1.0,1.00,0.57,True,0.67,0.71,True,0.88,0.57,True,8.88,8.88,3.57,False
0,v0_3_87bb,v0,conv-f5539b05,cooperative,8.29,1.0,1.00,0.71,True,0.89,0.71,True,0.88,0.71,True,6.62,8.88,3.57,False
0,v0_3_87bb,v0,conv-451d5a52,combative,6.71,0.0,0.62,0.29,True,0.44,0.86,True,0.88,0.43,True,5.50,3.25,3.57,False
0,v0_3_87bb,v0,conv-d468df27,evasive,6.84,0.0,0.50,0.29,True,0.78,0.57,True,0.62,0.57,True,6.62,5.50,3.57,False
0,v0_3_87bb,v0,conv-1e96750f,confused,6.52,1.0,0.50,0.14,True,0.33,0.71,True,0.62,0.57,True,6.62,6.62,3.57,False
0,v0_3_87bb,v0,conv-357507fe,distressed,8.25,1.0,0.88,0.71,True,0.78,0.71,True,0.88,0.71,True,8.88,8.88,3.57,False
0,v0_3_87bb,v0,conv-ae042645,cooperative,7.44,1.0,0.88,0.14,True,0.78,0.14,True,0.88,0.86,True,6.62,6.62,4.86,False
0,v0_3_87bb,v0,conv-a83704fa,combative,4.1,0.0,0.62,0.43,True,0.56,0.14,False,0.75,0.29,True,4.38,5.50,3.57,False
0,v0_3_87bb,v0,conv-86782443,evasive,7.18,1.0,0.62,0.57,True,0.78,0.71,True,0.88,0.57,True,3.25,5.50,3.57,False
0,v0_3_87bb,v0,conv-e2e5586b,confused,6.78,0.0,0.50,0.29,True,0.56,0.71,True,0.88,0.29,True,5.50,6.62,3.57,False
0,v0_3_87bb,v0,conv-20278744,distressed,8.14,1.0,0.75,0.71,True,0.78,0.86,True,0.88,0.71,True,7.75,8.88,3.57,False
0,v0_1_f082,v0,conv-0b895868,cooperative,6.61,1.0,1.00,0.71,True,0.89,0.71,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_1_f082,v0,conv-5c4590db,combative,6.72,0.0,0.62,0.29,True,0.56,0.57,True,0.88,0.43,True,4.38,5.50,3.57,False
0,v0_1_f082,v0,conv-a1cf2947,cooperative,4.08,1.0,0.88,0.29,True,0.89,0.86,False,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_1_f082,v0,conv-bb9f3ddb,combative,6.9,0.0,0.62,0.43,True,0.67,0.57,True,0.88,0.43,True,4.38,5.50,3.57,False
0,v0_1_f082,v0,conv-cc35a08a,evasive,7.29,1.0,0.50,0.43,True,0.78,0.71,True,0.75,0.43,True,7.75,7.75,3.57,False
0,v0_1_f082,v0,conv-5b2be738,confused,7.36,1.0,0.50,0.43,True,0.67,0.71,True,0.75,0.71,True,7.75,7.75,3.57,False
0,v0_1_f082,v0,conv-e709d1b0,distressed,8.08,1.0,0.88,0.57,True,0.78,0.86,True,0.88,0.71,True,6.62,8.88,3.57,False
0,v0_1_f082,v0,conv-a6b6e296,cooperative,5.57,1.0,0.88,0.57,True,0.67,0.29,True,0.00,0.00,True,6.62,1.00,1.00,False
0,v0_1_f082,v0,conv-a2d1a529,combative,4.6,0.0,0.50,0.14,False,0.67,0.57,True,0.75,0.43,False,6.62,7.75,3.57,False
0,v0_1_f082,v0,conv-2f3c6f5b,evasive,7.53,0.0,0.62,0.43,True,0.89,0.86,True,0.88,0.29,True,6.62,7.75,3.57,False
0,v0_1_f082,v0,conv-48c65e70,cooperative,6.67,1.0,0.88,1.00,True,0.89,0.71,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_1_f082,v0,conv-a6d3e173,combative,6.76,0.0,0.62,0.14,True,0.67,0.71,True,0.62,0.43,True,5.50,6.62,3.57,False
0,v0_1_f082,v0,conv-1675fa96,evasive,7.32,0.0,0.62,0.43,True,0.78,0.71,True,0.75,0.57,True,5.50,7.75,3.57,False
0,v0_1_f082,v0,conv-f6d985cf,confused,6.99,1.0,0.50,0.43,True,0.67,0.71,True,0.62,0.57,True,5.50,7.75,3.57,False
0,v0_1_f082,v0,conv-a3672010,distressed,7.68,1.0,0.62,0.29,True,0.78,0.71,True,0.88,0.71,True,7.75,8.88,3.57,False
0,v0_1_f082,v0,conv-80fe2da8,cooperative,6.4,1.0,1.00,0.71,True,0.89,0.57,True,0.00,0.00,True,6.62,1.00,3.57,False
0,v0_1_f082,v0,conv-d9cb86cc,combative,4.26,1.0,0.62,0.29,False,0.44,0.43,True,0.75,0.57,True,3.25,6.62,3.57,False
0,v0_1_f082,v0,conv-7ac30b40,evasive,7.43,1.0,0.62,0.43,True,0.78,0.71,True,0.88,0.57,True,6.62,6.62,3.57,False
0,v0_1_f082,v0,conv-76e7db5c,confused,5.54,1.0,0.50,0.43,True,0.67,0.71,True,0.00,0.00,True,6.62,1.00,2.29,False
0,v0_1_f082,v0,conv-1c0d8a26,distressed,7.94,1.0,0.75,0.71,True,0.78,0.71,True,0.75,0.71,True,7.75,8.88,3.57,False
0,v0_1_f082,v0,conv-b3668bd3,cooperative,6.53,1.0,1.00,0.29,True,0.89,1.00,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_1_f082,v0,conv-59210649,combative,6.78,0.0,0.62,0.43,True,0.56,0.57,True,0.75,0.43,True,5.50,5.50,3.57,False
0,v0_1_f082,v0,conv-d1c5fcb9,evasive,5.84,1.0,0.62,0.43,True,0.78,0.71,True,0.00,0.00,True,4.38,1.00,4.86,False
0,v0_1_f082,v0,conv-d3fa5150,confused,5.45,1.0,0.50,0.43,True,0.67,0.71,True,0.00,0.00,True,5.50,1.00,2.29,False
0,v0_1_f082,v0,conv-a0b7a630,distressed,7.41,1.0,0.75,0.43,True,0.44,0.71,True,0.88,0.57,True,7.75,7.75,3.57,False
1,v1_0_929a,v0_1_f082,conv-7b77938a,cooperative,7.65,1.0,1.00,0.86,True,0.56,0.29,True,0.88,0.57,True,5.50,8.88,3.57,False
1,v1_0_929a,v0_1_f082,conv-c4ce96a9,combative,3.91,0.0,0.50,0.14,False,0.44,0.29,True,0.88,0.29,True,4.38,5.50,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-603a6115,cooperative,8.19,1.0,1.00,0.86,True,0.78,0.57,True,0.88,0.86,True,6.62,7.75,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-9dae2872,combative,6.62,0.0,0.62,0.43,True,0.44,0.43,True,0.88,0.43,True,3.25,6.62,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-da018401,cooperative,8.31,1.0,1.00,0.86,True,1.00,0.71,True,0.88,0.71,True,5.50,7.75,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-b06c5fe0,combative,5.85,0.0,0.50,0.14,True,0.33,0.86,True,0.50,0.14,True,6.62,3.25,2.29,False
1,v1_2_3412,v0_0_cb8e,conv-35790f7a,evasive,7.4,0.0,0.50,0.43,True,0.78,0.71,True,0.88,0.57,True,6.62,7.75,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-7d6bcd60,confused,6.82,1.0,0.50,0.43,True,0.44,0.71,True,0.75,0.43,True,6.62,6.62,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-8976d91d,distressed,7.43,1.0,0.75,0.43,True,0.78,0.71,True,0.75,0.71,True,7.75,4.38,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-885b8d85,cooperative,7.64,1.0,1.00,0.57,True,0.67,0.57,True,0.75,0.57,True,6.62,7.75,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-1c2dc6a1,combative,3.58,1.0,0.50,0.14,False,0.56,0.43,True,0.25,0.14,True,4.38,5.50,4.86,False
1,v1_2_3412,v0_0_cb8e,conv-6a652f0b,evasive,6.91,0.0,0.62,0.43,True,0.89,0.71,True,0.75,0.29,True,4.38,4.38,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-811b40f4,cooperative,4.83,1.0,0.00,0.00,True,0.00,0.00,True,0.25,0.00,True,8.88,7.75,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-35caaa99,combative,1.99,1.0,0.12,0.00,False,0.00,0.00,True,0.12,0.00,False,4.38,4.38,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-6518bd62,evasive,4.51,0.0,0.00,0.14,True,0.11,0.00,True,0.25,0.14,True,4.38,4.38,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-2cec3413,confused,3.93,1.0,0.12,0.00,True,0.11,0.00,True,0.00,0.00,True,5.50,1.00,2.29,False
1,v1_2_3412,v0_0_cb8e,conv-814de0f9,distressed,2.77,1.0,0.12,0.00,False,0.11,0.29,True,0.12,0.00,True,7.75,7.75,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-29d74c50,cooperative,4.99,1.0,0.38,0.00,True,0.00,0.14,True,0.00,0.00,True,6.62,7.75,4.86,False
1,v1_2_3412,v0_0_cb8e,conv-fb0ad7f7,combative,4.41,0.0,0.12,0.00,True,0.00,0.00,True,0.12,0.00,True,5.50,5.50,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-adb2740f,evasive,4.83,0.0,0.25,0.14,True,0.00,0.14,True,0.00,0.29,True,5.50,6.62,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-1e8e9d9c,confused,4.44,1.0,0.00,0.14,True,0.00,0.00,True,0.00,0.00,True,6.62,6.62,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-e1c0d862,distressed,2.74,1.0,0.00,0.00,False,0.11,0.00,True,0.12,0.14,True,8.88,8.88,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-1ae41dc3,cooperative,5.88,1.0,0.25,0.29,True,0.44,0.43,True,0.25,0.14,True,7.75,7.75,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-f13db1a8,combative,5.22,0.0,0.38,0.00,True,0.33,0.43,True,0.25,0.00,True,3.25,6.62,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-dd14ba9b,evasive,4.83,1.0,0.25,0.29,True,0.00,0.00,True,0.00,0.29,True,5.50,6.62,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-560a7879,confused,4.45,0.0,0.00,0.00,True,0.11,0.00,True,0.00,0.14,True,5.50,6.62,3.57,False
1,v1_2_3412,v0_0_cb8e,conv-b5691048,distressed,5.1,1.0,0.00,0.29,True,0.11,0.14,True,0.25,0.00,True,7.75,7.75,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-f72a48fb,cooperative,7.04,1.0,0.62,0.14,True,0.44,0.57,True,0.88,0.86,True,7.75,5.50,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-8857474a,combative,6.35,0.0,0.50,0.14,True,0.56,0.29,True,0.88,0.43,True,4.38,5.50,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-de275c76,cooperative,8.38,1.0,1.00,0.86,True,0.89,0.71,True,0.88,0.86,True,6.62,7.75,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-5f27ff3f,combative,7.1,1.0,0.62,0.14,True,0.67,0.71,True,1.00,0.43,True,4.38,7.75,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-530dbd77,evasive,6.99,0.0,0.62,0.43,True,0.67,0.57,True,0.88,0.57,True,4.38,5.50,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-d52a1b0e,confused,6.92,1.0,0.62,0.57,True,0.56,0.71,True,0.62,0.43,True,6.62,5.50,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-92f85e4d,distressed,7.65,1.0,0.88,0.57,True,0.33,0.86,True,0.75,0.71,True,7.75,8.88,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-a5fede1c,cooperative,6.76,1.0,1.00,0.71,True,1.00,0.57,True,0.00,0.00,True,6.62,1.00,6.14,False
1,v1_3_beba,v0_0_cb8e,conv-543a283c,combative,6.37,0.0,0.38,0.14,True,0.44,0.57,True,0.75,0.71,True,4.38,5.50,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-1d0b456b,evasive,6.99,0.0,0.62,0.43,True,0.44,0.71,True,1.00,0.57,True,4.38,5.50,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-3b9e4359,cooperative,5.99,1.0,0.75,0.14,True,0.22,0.29,True,0.38,0.14,True,6.62,7.75,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-92bd65e7,combative,1.85,0.0,0.00,0.00,True,0.00,0.00,False,0.00,0.00,True,4.38,5.50,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-2ade5341,evasive,4.11,0.0,0.00,0.00,True,0.11,0.00,True,0.00,0.00,True,4.38,4.38,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-f8533eef,confused,4.35,0.0,0.00,0.00,True,0.00,0.00,True,0.00,0.00,True,6.62,6.62,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-5653ca17,distressed,4.69,1.0,0.00,0.14,True,0.00,0.00,True,0.00,0.00,True,7.75,8.88,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-2c8cc3f6,cooperative,4.23,1.0,0.00,0.00,True,0.00,0.00,True,0.00,0.00,True,8.88,1.00,4.86,False
1,v1_3_beba,v0_0_cb8e,conv-270a5a63,combative,4.18,0.0,0.00,0.00,True,0.00,0.00,True,0.00,0.00,True,4.38,6.62,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-b67bf84f,evasive,3.93,0.0,0.00,0.00,True,0.00,0.00,True,0.00,0.00,True,3.25,4.38,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-040fde3f,confused,4.52,1.0,0.00,0.00,True,0.00,0.00,True,0.00,0.14,True,6.62,7.75,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-2d1b7809,distressed,4.79,1.0,0.00,0.00,True,0.11,0.14,True,0.00,0.00,True,7.75,8.88,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-9c348f2b,cooperative,4.96,1.0,0.12,0.00,True,0.22,0.14,True,0.00,0.00,True,6.62,7.75,4.86,False
1,v1_3_beba,v0_0_cb8e,conv-c2a9a267,combative,2.33,0.0,0.12,0.00,True,0.00,0.29,False,0.12,0.00,True,4.38,6.62,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-d6974fb5,evasive,5.33,0.0,0.50,0.14,True,0.11,0.29,True,0.38,0.14,True,3.25,6.62,3.57,False
1,v1_3_beba,v0_0_cb8e,conv-d3d2caa1,confused,4.0,1.0,0.00,0.14,True,0.22,0.00,True,0.00,0.00,True,5.50,1.00,2.29,False
1,v1_3_beba,v0_0_cb8e,conv-5b5ff371,distressed,5.31,1.0,0.00,0.14,True,0.00,0.00,True,0.12,0.57,True,8.88,10.00,3.57,False
2,v2_0_5ff4,v0_1_f082,conv-6f2bd3ad,cooperative,8.28,1.0,1.00,0.86,True,1.00,0.86,True,0.75,0.57,True,6.62,7.75,3.57,False
2,v2_0_5ff4,v0_1_f082,conv-3e3af622,combative,3.99,0.0,0.50,0.29,False,0.56,0.43,True,0.75,0.29,True,3.25,5.50,3.57,False
2,v2_3_bcc4,v1_3_beba,conv-16008d5b,cooperative,8.28,1.0,1.00,0.57,True,0.78,0.71,True,0.88,1.00,True,6.62,8.88,3.57,False
2,v2_3_bcc4,v1_3_beba,conv-83c60258,combative,6.11,0.0,0.50,0.14,True,0.44,0.43,True,0.62,0.57,True,4.38,4.38,3.57,False
2,v2_3_bcc4,v1_3_beba,conv-5d7e57fd,cooperative,6.97,1.0,0.62,0.29,True,0.56,0.14,True,0.88,0.86,True,6.62,6.62,3.57,False
2,v2_3_bcc4,v1_3_beba,conv-8cfdd9a1,combative,6.28,0.0,0.50,0.29,True,0.56,0.43,True,0.75,0.29,True,4.38,6.62,2.29,False
2,v2_3_bcc4,v1_3_beba,conv-091f46ee,evasive,7.28,0.0,0.62,0.43,True,0.89,0.71,True,0.88,0.57,True,4.38,5.50,3.57,False
2,v2_3_bcc4,v1_3_beba,conv-978e6e00,confused,6.59,1.0,0.50,0.43,True,0.44,0.29,True,0.88,0.71,True,4.38,5.50,3.57,False
2,v2_3_bcc4,v1_3_beba,conv-4570f42d,distressed,7.78,1.0,0.88,0.57,True,0.44,0.71,True,0.88,0.57,True,8.88,8.88,3.57,False
2,v2_3_bcc4,v1_3_beba,conv-558cf0b3,cooperative,6.2,1.0,0.75,0.86,True,0.78,0.43,True,0.00,0.00,True,6.62,1.00,4.86,False
2,v2_3_bcc4,v1_3_beba,conv-b16e8ede,combative,6.05,0.0,0.50,0.14,True,0.56,0.43,True,0.50,0.43,True,4.38,6.62,2.29,False
2,v2_3_bcc4,v1_3_beba,conv-e23e0cd3,evasive,7.17,0.0,0.62,0.43,True,0.78,0.57,True,0.88,0.57,True,4.38,6.62,3.57,False
2,v2_3_bcc4,v1_3_beba,conv-ff914792,cooperative,6.44,1.0,1.00,0.71,True,0.89,0.57,True,0.00,0.00,True,5.50,1.00,4.86,False
2,v2_3_bcc4,v1_3_beba,conv-f0d770a0,combative,3.79,0.0,0.50,0.14,False,0.56,0.43,True,0.62,0.43,True,3.25,4.38,3.57,False
